common_songs,common_artists,common_albums,common_genres,%_songs,%_artists,%_albums,%_genres
Looking Out for You,Joy Again,Looking Out for You,modern rock,2.28,2.84,2.48,15.64
Where'd All the Time Go?,Dr. Dog,"Shame, Shame (Deluxe Edition)",rock,,,,
Daydream In Blue,I Monster,Neveroddoreven,classic rock,,,,
Every Little Thing,CyberGirlfriend,Every Little Thing,alternative rock,,,,
The Way I Feel Inside,The Zombies,Begin Here,adult standards,,,,
