id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valance,tempo
12cDuwg8jJ4N7RokLnFWfQ,0.642,0.501,6,-6.643,1,0.0324,0.837,1.8e-05,0.0914,0.298,122.973
0TCmhnbMpw5zwPsTvlXTJi,0.521,0.277,11,-10.34,1,0.0356,0.634,7.07e-05,0.103,0.13,115.01
4yAJOZ8ZBAKfXCI20hsVjf,0.735,0.824,2,-3.483,0,0.054,0.706,0,0.13,0.669,95.972
3WXRfej4FmghZCMzu9uv0g,0.557,0.607,2,-5.522,0,0.0388,0.613,0,0.0883,0.367,99.81
6tN0t7Y1bFI1ZU98Ou8Z3i,0.852,0.927,7,-4.497,1,0.0581,0.0109,0.00268,0.054,0.887,107.993
49FYlytm3dAAraYgpoJZux,0.583,0.829,1,-4.603,1,0.134,0.00864,0,0.0426,0.575,174.028
5iyZwawawLjHYpX4MxUKVF,0.693,0.835,6,-3.242,1,0.0624,0.131,0,0.073,0.744,128.052
4z9gBZQjGS4QLb4LOvmeuA,0.627,0.706,10,-3.201,0,0.0597,0.00227,0,0.122,0.536,99.93
5NlFXQ0si6U87gXs6hq81B,0.715,0.791,10,-6.63,1,0.0414,0.0368,0,0.0694,0.879,116.043
6ic8OlLUNEATToEFU3xmaH,0.788,0.844,2,-3.131,1,0.0334,0.25,0.000678,0.0723,0.382,113.324
2AW37v0bDyuOzGP3XnmFuA,0.636,0.873,0,-4.672,0,0.071,0.0407,1.27e-06,0.0372,0.908,165.071
0hoRkoCB6eJ7WjYNQGC7eQ,0.806,0.501,0,-4.941,0,0.0398,0.583,0,0.232,0.558,125.025
5FiXhM80sP4yg6tEnHkZZn,0.384,0.868,6,-3.226,0,0.0711,0.0458,5.82e-06,0.0797,0.233,95.027
0w0NpOQOYYClaTI0TFHBMF,0.35,0.337,6,-10.527,1,0.0343,0.568,0,0.0801,0.196,64.46
7lV0M6ulaapTNZJzx8stw0,0.452,0.494,1,-5.773,1,0.0298,0.222,0,0.118,0.153,131.806
0ZeGfEAL5Rl4pd5LZBGuEK,0.658,0.749,9,-2.967,0,0.0634,0.238,2.03e-06,0.272,0.442,128.909
4ASPjY65S7crmZBHML0L8d,0.321,0.29,9,-13.927,1,0.0343,0.799,0.00324,0.361,0.0783,92.375
5viFjDGTnrApmUY5c8qkfw,0.395,0.375,0,-7.948,1,0.034,0.225,0,0.145,0.131,121.04
5VIfacsWytkcgr7aTt8Tql,0.341,0.229,0,-15.795,1,0.0344,0.846,2.81e-06,0.101,0.131,126.852
