id,song,artist,album,popularity,duration,genres
1fBl642IhJOE5U319Gy2Go,Animal,Neon Trees,Habits,72,212293,"['modern alternative rock', 'modern rock', 'pop', 'pop rock', 'rock']"
4IBuAtdsM6psUgfhHgoy4e,What If,Jason Derulo,Jason Derulo,39,203240,"['dance pop', 'pop', 'pop rap', 'post-teen pop']"
5rLi8B8qgk6qThwRnKHW2P,The Ballad of Mona Lisa,Panic! At The Disco,Vices & Virtues,68,226680,['modern rock']
7zAt4tdL44D3VuzsvM0N8n,Afterlife,Avenged Sevenfold,Avenged Sevenfold,69,352426,"['alternative metal', 'nu metal']"
1BLfQ6dPXmuDrFmbdfW7Jl,A Little Piece of Heaven,Avenged Sevenfold,Avenged Sevenfold,68,480706,"['alternative metal', 'nu metal']"
7Hr1Ignop7cymbE3FbOtXa,So Far Away,Avenged Sevenfold,Nightmare,66,326813,"['alternative metal', 'nu metal']"
3VA4sjTMSTTF02hFGmlpJh,crushcrushcrush,Paramore,Riot!,65,189373,"['candy pop', 'pixie', 'pop emo', 'pop punk']"
17QodENDMk3o1nPgPqfs3Y,Your Surrender,Neon Trees,Habits,33,220853,"['modern alternative rock', 'modern rock', 'pop', 'pop rock', 'rock']"
5zpDHEU12zATwLGvozxPw2,Lighters,Bad Meets Evil,Hell: The Sequel (Deluxe),70,303813,"['detroit hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap']"
1yjY7rpaAQvKwpdUliHx0d,Still into You,Paramore,Paramore,82,216013,"['candy pop', 'pixie', 'pop emo', 'pop punk']"
4eDYMhIin1pSLIG96f1aD0,Addicted To You,Avicii,True,69,148386,"['dance pop', 'edm', 'pop', 'pop dance']"
1HR2CTi0ytRJIcik1QKdOa,Beautiful,Eminem,Relapse: Refill,70,392826,"['detroit hip hop', 'hip hop', 'rap']"
2VEsmoek0sol9MnJFyoG9e,Burnin' Up,Jonas Brothers,A Little Bit Longer,70,175093,"['boy band', 'dance pop', 'pop', 'post-teen pop']"
4kf33kU0KAlkNBK9pNbYNU,When You Look Me In The Eyes,Jonas Brothers,Jonas Brothers,63,249693,"['boy band', 'dance pop', 'pop', 'post-teen pop']"
48s0QHJgmiNsth3WEO6U4M,Stop And Stare,OneRepublic,Dreaming Out Loud,60,223853,"['dance pop', 'neo mellow', 'piano rock', 'pop', 'pop rock']"
09ZcYBGFX16X8GMDrvqQwt,For the First Time,The Script,Science & Faith,62,252853,"['celtic rock', 'dance pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop']"
4HlFJV71xXKIGcU3kRyttv,"Hey, Soul Sister",Train,"Save Me, San Francisco (Golden Gate Edition)",83,216773,"['dance pop', 'neo mellow', 'pop', 'pop rock']"
0H1OyEooZ5SzBYYdJEzxoy,If I Had You,Adam Lambert,For Your Entertainment,56,228240,"['dance pop', 'electropop', 'idol', 'post-teen pop']"
6d9IiDcFxtFVIvt9pCqyGH,Sparks Fly,Taylor Swift,Speak Now,65,260933,['pop']
6Wx88Mv6b9ofjKMKkdwOJd,New Divide,Linkin Park,Transformers: Revenge Of The Fallen The Album,70,268613,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal']"
4rHZZAmHpZrA3iH5zx8frV,Mirrors,Justin Timberlake,The 20/20 Experience (Deluxe Version),79,484146,"['dance pop', 'pop']"
4AIazttPmHpd7p7pwJw692,Neutron Star Collision (Love Is Forever) - Soundtrack Version,Muse,Neutron Star Collision [Love Is Forever],56,230256,"['alternative rock', 'modern rock', 'permanent wave', 'rock']"
17eeVWCA0gN3kzYY8aPLNW,Ngôi Sao Lẻ Loi,LK,Đích Đến,28,341577,['vietnamese hip hop']
7gKRz09FJ8i8aDdPBIP3Jn,Ánh Sáng Nơi Cuối Con Đường,LK,Đích Đến,23,280659,['vietnamese hip hop']
5GorCbAP4aL0EJ16frG2hd,Boulevard of Broken Dreams,Green Day,Greatest Hits: God's Favorite Band,75,262333,"['permanent wave', 'punk']"
1vNoA9F5ASnlBISFekDmg3,Zombie,Bad Wolves,Zombie,70,254805,"['alternative metal', 'metal']"
45sDIKapDyxPl307QpEAwl,Rocketeer,Far East Movement,Free Wired,68,211253,"['asian american hip hop', 'dance pop', 'edm', 'pop rap']"
2V4bv1fNWfTcyRJKmej6Sj,Cooler Than Me - Single Mix,Mike Posner,31 Minutes to Takeoff,76,213293,"['dance pop', 'edm', 'pop', 'pop rap', 'rap']"
1leXuBiWQMgbvOIIedqbLB,Kangaroo Court,Capital Cities,In A Tidal Wave Of Mystery (Deluxe Edition),66,223186,['metropopolis']
3RBluWmSoG2pGA1OePzGJI,The Story Of Us,Taylor Swift,Speak Now,65,265666,['pop']
76Je5Wklky23mVoxiRszcN,Walk,Foo Fighters,Wasting Light,69,255960,"['alternative metal', 'alternative rock', 'modern rock', 'permanent wave', 'post-grunge', 'rock']"
389QX9Q1eUOEZ19vtzzI9O,While My Guitar Gently Weeps - Remastered 2009,The Beatles,The Beatles (Remastered),69,285000,"['beatlesque', 'british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']"
70LcF31zb1H0PyJoS1Sx1r,Creep,Radiohead,Pablo Honey,84,238640,"['alternative rock', 'art rock', 'melancholia', 'oxford indie', 'permanent wave', 'rock']"
3AOcpwgy3V2Fwg7B8PZfKl,Creep,Scott Bradlee's Postmodern Jukebox,Emoji Antique,61,283259,"['jazz cover', 'swing']"
6n5647DTsQSR4llhBAqoUr,Will You Still Love Me Tomorrow,Roberta Flack,Quiet Fire,41,247226,"['adult standards', 'classic soul', 'disco', 'funk', 'mellow gold', 'motown', 'quiet storm', 'soft rock', 'soul', 'vocal jazz']"
0BeEwAFTqAJskbGAuq3uUr,Darkside Of The Sun,Tokio Hotel,Humanoid (Deluxe),21,232626,['german pop rock']
0sjxRg1VlYfx4YG7uxurrq,I Put A Spell On You,Nina Simone,I Put A Spell On You,67,155026,"['adult standards', 'jazz blues', 'soul', 'soul jazz', 'torch song', 'vocal jazz']"
6Rqn2GFlmvmV4w9Ala0I1e,Feeling Good,Nina Simone,I Put A Spell On You,74,174000,"['adult standards', 'jazz blues', 'soul', 'soul jazz', 'torch song', 'vocal jazz']"
7cv28LXcjAC3GsXbUvXKbX,I Will Survive - Single Version,Gloria Gaynor,20th Century Masters: The Millennium Collection: Best Of Gloria Gaynor,69,198066,['disco']
3ascnOSOR5MX901ylGuhcl,When a Man Loves a Woman,Michael Bolton,"Time, Love & Tenderness",67,231066,"['adult standards', 'mellow gold', 'soft rock']"
3hS5RCp5EE1wUiiE7f8dM1,Go the Distance,Michael Bolton,All That Matters,58,280640,"['adult standards', 'mellow gold', 'soft rock']"
69QlYqNJeZG14R4an2aoJv,Fiction,Beast,Fiction And Fact,56,234586,"['k-pop', 'k-pop boy group']"
6oHUMXEKpnXOrs13VoGsuF,Trap,Henry,Trap - The 1st Album,53,225386,"['k-pop', 'korean pop']"
1L4d2lafz1odpIMe8va21X,Haru Haru,BIGBANG,Stand Up,61,256359,"['k-pop', 'k-pop boy group']"
54SpjxPioot7g7hVfbrXHh,Lies,BIGBANG,Always,54,229120,"['k-pop', 'k-pop boy group']"
4LOLvDtzykDC7y9WehFoOi,Blue,BIGBANG,ALIVE,57,233098,"['k-pop', 'k-pop boy group']"
4zXViIlvKDAjvIG5Keff87,A Boy,G-DRAGON,Heartbreaker,40,209293,"['k-pop', 'k-rap']"
5BGFEihEqSVBPWICqVnPIU,Tonight,BIGBANG,Tonight,47,222413,"['k-pop', 'k-pop boy group']"
7p7sk4HhAqscF9TrQssSIJ,"Sadness and Sorrow (From ""Naruto"") - Piano Version",Patrik Pietschmann,"Sadness and Sorrow (From ""Naruto"") [Piano Version]",53,188088,[]
