id,song,artist,album,popularity,duration,img_url,genres
0ehuqbHuFZIOedqkWn0JZi,something about december,Christina Perri,a very merry perri christmas,34,238826,https://i.scdn.co/image/ab67616d0000b27313335583e07f47840d2fcf98,"['dance pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop', 'viral pop']"
6lanRgr6wXibZr8KgzXxBl,A Thousand Years,Christina Perri,A Thousand Years,81,285120,https://i.scdn.co/image/ab67616d0000b2733dea4a2ccd58ad1f8e4dbb03,"['dance pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop', 'viral pop']"
0HZhYMZOcUzZKSFwPOti6m,Jar of Hearts,Christina Perri,lovestrong.,74,246587,https://i.scdn.co/image/ab67616d0000b27326a2f5224465a369f8abbf88,"['dance pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop', 'viral pop']"
3y7ByLZ05tluscOTRgEJ9Y,Palette (feat. G-DRAGON),IU,Palette,67,217412,https://i.scdn.co/image/ab67616d0000b273c06f0e8b33ac2d246158253e,['k-pop']
3P3UA61WRQqwCXaoFOTENd,Through the Night,IU,Palette,66,253293,https://i.scdn.co/image/ab67616d0000b273c06f0e8b33ac2d246158253e,['k-pop']
06EMBzxDm2hueehobAlMtm,Ending Scene,IU,Palette,64,249241,https://i.scdn.co/image/ab67616d0000b273c06f0e8b33ac2d246158253e,['k-pop']
3YkDslZvvMixTwgDId0aYB,Twenty-three,IU,CHAT-SHIRE,56,194325,https://i.scdn.co/image/ab67616d0000b2736a0cfc4171d2a0cb9dc7c9ab,['k-pop']
0GsRx0gPft6RmijIwMsKmG,Friday (feat.Jang Yi-jeong),IU,Modern Times – Epilogue,59,217129,https://i.scdn.co/image/ab67616d0000b27315b8cef21bf4482d56c15614,['k-pop']
5MvxeZPiiLAuB5gI8k3ynk,Can't Love You Anymore (With OHHYUK),IU,Palette,57,195230,https://i.scdn.co/image/ab67616d0000b273c06f0e8b33ac2d246158253e,['k-pop']
1SwZVVH9BnXtLRLi2cbFhw,Good day,IU,REAL,62,233586,https://i.scdn.co/image/ab67616d0000b27315cf3110f19687b1a24943d1,['k-pop']
1dwOTQnBuN8LeVX4jNwJXS,Zezé,IU,CHAT-SHIRE,47,190711,https://i.scdn.co/image/ab67616d0000b2736a0cfc4171d2a0cb9dc7c9ab,['k-pop']
4ogMtogPGtC1VwKRNiHymx,Glasses,IU,CHAT-SHIRE,45,196556,https://i.scdn.co/image/ab67616d0000b2736a0cfc4171d2a0cb9dc7c9ab,['k-pop']
5ktwBE88NKZSfmk6Lw2KhS,heart,IU,heart,51,166933,https://i.scdn.co/image/ab67616d0000b2735d93fd25cbf0ad2a9945869e,['k-pop']
3atsk5EWI5fNxLMIJnfYfJ,The Red Shoes,IU,Modern Times,48,254249,https://i.scdn.co/image/ab67616d0000b2734897a7925914a3a10ce68c31,['k-pop']
48uwqEenPJeJvFYdrM0qV7,Only I didn't know,IU,REAL+,47,202109,https://i.scdn.co/image/ab67616d0000b27335dbb67e8e2d12ab91d449b5,['k-pop']
5m2tbM2w8mG76uwFgla2iF,Every End of the Day,IU,The Spring of Twenty,50,242207,https://i.scdn.co/image/ab67616d0000b2739d991c33eee30c62473c22a8,['k-pop']
38Dwg8OrUClCZl2wzUKrmi,Modern Times,IU,Modern Times,45,205557,https://i.scdn.co/image/ab67616d0000b2734897a7925914a3a10ce68c31,['k-pop']
2RENeWPEosqVewFaHSNnjT,Obliviate,IU,Modern Times,43,190223,https://i.scdn.co/image/ab67616d0000b2734897a7925914a3a10ce68c31,['k-pop']
2LdOm1BBfBbQjw9LrqmfuC,First Love,After School,After School The 6th Maxi Single 'First Love',44,217738,https://i.scdn.co/image/ab67616d0000b27368b5609837df4be8924d4922,"['k-pop', 'k-pop girl group']"
5SusX17QvBBkH7WfMbTU0j,NoNoNo,Apink,Secret Garden,55,220099,https://i.scdn.co/image/ab67616d0000b273da7fe0b01f25c675433399d9,"['k-pop', 'k-pop girl group']"
6fT9eZYgSvhu9v8wzrZkdG,Mr. Chu,Apink,Pink Blossom,60,214750,https://i.scdn.co/image/ab67616d0000b27359ce911310b702e7302b028b,"['k-pop', 'k-pop girl group']"
6JtfR9xa0HII5UWXfdjvsQ,FIVE,Apink,Pink UP,42,192406,https://i.scdn.co/image/ab67616d0000b2737c6e099afcf60caf013ae8f3,"['k-pop', 'k-pop girl group']"
7EZ79Zl4XsPS320q0KXC6E,LUV,Apink,Pink LUV,49,238920,https://i.scdn.co/image/ab67616d0000b273a0f8219db51b71133b2f56f4,"['k-pop', 'k-pop girl group']"
5DM5iNhImOgjBW3c5OgYLn,I don't Know,Apink,Seven Springs Of Apink,47,224160,https://i.scdn.co/image/ab67616d0000b273444fa8c35c48fb00a3d5b75b,"['k-pop', 'k-pop girl group']"
66t3n50Ycj91XnLvrsomHt,Kok Kok,Apink,Pink UP,25,209040,https://i.scdn.co/image/ab67616d0000b2737c6e099afcf60caf013ae8f3,"['k-pop', 'k-pop girl group']"
7gHs73wELdeycvS48JfIos,Faded,Alan Walker,Faded,74,212626,https://i.scdn.co/image/ab67616d0000b273c4d00cac55ae1b4598c9bc90,['electro house']
6RbapljEfzUs0siMbq4vRe,Go down Singing,Michelle Chamuel,Go down Singing,0,228127,https://i.scdn.co/image/ab67616d0000b273ac58a2aa1280349308637288,['deep talent show']
6BKOhvRPY54uvfqWwg7MKi,Up & Down,EXID,AH YEAH,60,189882,https://i.scdn.co/image/ab67616d0000b27385b44ac6d4a8383ed7e88285,"['k-pop', 'k-pop girl group']"
68daw5D7jgDf55BJmaiQIf,Ah Yeah,EXID,AH YEAH,51,199642,https://i.scdn.co/image/ab67616d0000b27385b44ac6d4a8383ed7e88285,"['k-pop', 'k-pop girl group']"
4c1cUu1PFDX1YB6JDvG8vf,L.I.E,EXID,Street,50,211100,https://i.scdn.co/image/ab67616d0000b273e4751812fc466db9cc6bd9aa,"['k-pop', 'k-pop girl group']"
3t1HegTbjLFXUaNAElhR7T,Hot Pink,EXID,Hot Pink,50,200729,https://i.scdn.co/image/ab67616d0000b273ccb4d7ed40a41c0d16d1dcd7,"['k-pop', 'k-pop girl group']"
