id,song,artist,album,popularity,duration,img_url,genres
6fTt0CH2t0mdeB2N9XFG5r,Panini,Lil Nas X,7 EP,68,114893,https://i.scdn.co/image/ab67616d0000b273c0e7bf5cdd630f314f20586a,"['lgbtq+ hip hop', 'pop']"
4ak7xjvBeBOcJGWFDX9w5n,Rodeo,Lil Nas X,7 EP,74,158706,https://i.scdn.co/image/ab67616d0000b273c0e7bf5cdd630f314f20586a,"['lgbtq+ hip hop', 'pop']"
3KkXRkHbMCARz0aVfEt68P,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),83,158040,https://i.scdn.co/image/ab67616d0000b273e2e352d89826aef6dbd5ff8f,"['dfw rap', 'melodic rap', 'rap']"
2G7V7zsVDxg1yRsu7Ew9RJ,In My Feelings,Drake,Scorpion,77,217925,https://i.scdn.co/image/ab67616d0000b273f907de96b9a4fbc04accc0d5,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
6nO3tr47nr2P7f3hXb8JIo,Champion (feat. Travis Scott),NAV,RECKLESS,74,195053,https://i.scdn.co/image/ab67616d0000b2730231368c38cf69a722ed1d0b,"['canadian hip hop', 'canadian trap', 'hip hop', 'melodic rap', 'pop rap', 'rap', 'toronto rap', 'trap']"
5ry2OE6R2zPQFDO85XkgRb,Money In The Grave (Drake ft. Rick Ross),Drake,The Best In The World Pack,79,205426,https://i.scdn.co/image/ab67616d0000b2733f3b653b0a7b9e889a712c3d,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
285pBltuF7vW8TeWk8hdRR,Lucid Dreams,Juice WRLD,Goodbye & Good Riddance,85,239835,https://i.scdn.co/image/ab67616d0000b273f7db43292a6a99b21b51d5b4,"['chicago rap', 'melodic rap']"
2xLMifQCjDGFmkHkpNLD9h,SICKO MODE,Travis Scott,ASTROWORLD,84,312820,https://i.scdn.co/image/ab67616d0000b273072e9faef2ef7b6db63834a3,"['rap', 'slap house']"
1kBbgxAUc4HQv7cgIayIDH,Ransom,Lil Tecca,Ransom,1,131280,https://i.scdn.co/image/ab67616d0000b273422113b080aa8e2effae4fa2,"['melodic rap', 'rap', 'trap']"
6MWtB6iiXyIwun0YzU6DFP,Wow.,Post Malone,Wow.,4,149520,https://i.scdn.co/image/ab67616d0000b27379eb2363cc79781b03d80b2e,"['dfw rap', 'melodic rap', 'rap']"
7GX5flRQZVHRAGd6B4TmDO,XO Tour Llif3,Lil Uzi Vert,Luv Is Rage 2,84,182706,https://i.scdn.co/image/ab67616d0000b27341b41e6f7924e530a9b00f9c,"['melodic rap', 'philly rap', 'rap', 'trap']"
6DCZcSspjsKoFjzjrWoCdn,God's Plan,Drake,Scorpion,83,198973,https://i.scdn.co/image/ab67616d0000b273f907de96b9a4fbc04accc0d5,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
