id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valance,tempo
4BHzQ9C00ceJxfG16AlNWb,0.69,0.524,6,-8.39,0,0.103,0.0415,3.16e-06,0.17,0.562,164.023
4xqrdfXkTW4T0RauPLv3WA,0.357,0.425,5,-7.301,1,0.0333,0.584,0,0.322,0.27,102.078
0k6LV1ohcK2hlNPwu1nVw9,0.641,0.512,10,-4.935,0,0.0285,0.577,0,0.215,0.395,116.059
5JCoSi02qi3jJeHdZXMmR8,0.369,0.272,9,-10.497,1,0.0364,0.866,0,0.147,0.218,172.929
3WbHsfnKTIpte7B14whqjF,0.456,0.313,10,-12.168,1,0.0309,0.841,9.74e-06,0.121,0.37,173.742
2X3rwsb6rl9keHNNiEVTVf,0.582,0.402,10,-10.009,1,0.0299,0.879,7.01e-06,0.113,0.394,149.876
64o1r6z5k2HmTglC2D4IKm,0.689,0.296,9,-11.051,1,0.0402,0.83,0,0.151,0.473,109.079
0742PcMPo2Akmo4vHC29VZ,0.52,0.204,7,-12.488,1,0.0355,0.733,2.53e-05,0.126,0.274,79.682
0YBNpbrmpZdFRT0NFqii5C,0.456,0.113,2,-15.763,0,0.0334,0.915,0.0011,0.0959,0.327,108.536
1lhm29o3syw122xynSKaAK,0.59,0.294,9,-8.125,1,0.0654,0.854,0,0.0873,0.461,87.895
5WkCcSa78lM1Ym4LXzJUiN,0.606,0.196,1,-11.652,1,0.0553,0.908,0,0.348,0.391,100.873
5a6pdCHlWS2ekOOQ70QnAr,0.708,0.186,9,-8.953,0,0.0422,0.868,0,0.0779,0.321,72.541
1d9Ve8caYURgqYEVuEHMww,0.855,0.254,7,-13.551,1,0.0664,0.837,2.44e-05,0.527,0.378,118.006
5AXyf6LS4D7QYp3JAJKW7F,0.546,0.28,10,-10.542,1,0.0294,0.969,0.00136,0.115,0.413,145.739
4oyX53bkiEB9seveixcTX8,0.628,0.201,9,-13.357,0,0.0506,0.898,0,0.13,0.539,79.963
6nhc3daOpKaZBRj2ZFWfc7,0.501,0.54,4,-6.918,1,0.0314,0.588,0,0.313,0.449,105.031
